cell_id,lat,lon,nearest_dist_km,is_estimated,Ward_No,Ward_Name,distance_to_ward
169,28.451282,76.938462,8.589,1,133,CHHAWLA,6751.612884617814
170,28.451282,76.953846,7.085,1,133,CHHAWLA,6762.13098885096
171,28.451282,76.969231,5.581,1,133,CHHAWLA,7008.817489821112
172,28.451282,76.984615,4.078,1,133,CHHAWLA,7626.841603310977
173,28.451282,77.0,2.575,1,133,CHHAWLA,7939.268333987407
174,28.451282,77.015385,1.075,1,133,CHHAWLA,8043.32614163701
175,28.451282,77.030769,0.455,0,133,CHHAWLA,8336.429991376908
176,28.451282,77.046154,1.945,1,175,AYA NAGAR,7616.231887637156
177,28.451282,77.061538,3.218,1,175,AYA NAGAR,6026.529047421516
178,28.451282,77.076923,3.332,1,175,AYA NAGAR,4525.727793102924
179,28.451282,77.092308,4.046,1,175,AYA NAGAR,3114.08582314995
180,28.451282,77.107692,3.463,1,175,AYA NAGAR,1606.4772684142326
181,28.451282,77.123077,2.688,1,175,AYA NAGAR,0.0
182,28.451282,77.138462,2.642,1,175,AYA NAGAR,0.0
183,28.451282,77.153846,2.74,1,175,AYA NAGAR,0.0
184,28.451282,77.169231,3.454,1,176,BHATI,0.0
185,28.451282,77.184615,4.57,1,176,BHATI,0.0
186,28.451282,77.2,4.71,1,176,BHATI,0.0
187,28.451282,77.215385,4.909,1,176,BHATI,0.0
188,28.451282,77.230769,5.527,1,176,BHATI,0.0
189,28.451282,77.246154,5.566,1,176,BHATI,141.9856216165515
190,28.451282,77.261538,5.268,1,176,BHATI,1458.860773410033
191,28.451282,77.276923,4.506,1,176,BHATI,3061.6567269479
192,28.451282,77.292308,3.065,1,176,BHATI,4739.044232264171
193,28.451282,77.307692,1.735,1,204,MOLARBAND,4146.637309341934
194,28.451282,77.323077,1.074,1,204,MOLARBAND,4214.7359588565705
195,28.451282,77.338462,1.955,1,204,MOLARBAND,4876.3467528601295
196,28.451282,77.353846,3.319,1,202,MEETHEYPUR,5731.959322149047
197,28.451282,77.369231,4.768,1,202,MEETHEYPUR,6789.285269692207
198,28.451282,77.384615,6.243,1,202,MEETHEYPUR,8074.548988611763
199,28.451282,77.4,7.729,1,202,MEETHEYPUR,9495.771794431195
200,28.464103,76.8,17.604,1,133,CHHAWLA,10393.739776198288
201,28.464103,76.815385,16.519,1,133,CHHAWLA,8957.548963233752
202,28.464103,76.830769,15.504,1,133,CHHAWLA,7631.938351384004
203,28.464103,76.846154,14.573,1,133,CHHAWLA,6425.111958002321
204,28.464103,76.861538,13.744,1,133,CHHAWLA,5405.455241952723
205,28.464103,76.876923,13.036,1,133,CHHAWLA,4798.040937571319
206,28.464103,76.892308,12.47,1,133,CHHAWLA,4645.505095121628
207,28.464103,76.907692,11.699,1,133,CHHAWLA,4960.29439922333
208,28.464103,76.923077,10.211,1,133,CHHAWLA,5425.603111163108
209,28.464103,76.938462,8.727,1,133,CHHAWLA,5134.812052340943
210,28.464103,76.953846,7.252,1,133,CHHAWLA,5139.510686383935
211,28.464103,76.969231,5.792,1,133,CHHAWLA,5454.625817580744
212,28.464103,76.984615,4.362,1,133,CHHAWLA,6210.546859084579
213,28.464103,77.0,3.005,1,133,CHHAWLA,6332.176211974581
214,28.464103,77.015385,1.886,1,133,CHHAWLA,6424.624625340431
215,28.464103,77.030769,1.615,1,133,CHHAWLA,6787.987268470512
216,28.464103,77.046154,2.486,1,141,BIJWASAN,6289.558350435705
217,28.464103,77.061538,3.779,1,175,AYA NAGAR,5548.2367692847965
218,28.464103,77.076923,4.711,1,175,AYA NAGAR,3867.78199604517
219,28.464103,77.092308,4.004,1,175,AYA NAGAR,2236.713312241074
220,28.464103,77.107692,2.596,1,175,AYA NAGAR,776.4496874169547
221,28.464103,77.123077,1.404,1,175,AYA NAGAR,0.0
222,28.464103,77.138462,1.313,1,175,AYA NAGAR,0.0
223,28.464103,77.153846,2.45,1,175,AYA NAGAR,0.0
224,28.464103,77.169231,3.847,1,176,BHATI,0.0
225,28.464103,77.184615,3.659,1,176,BHATI,0.0
226,28.464103,77.2,3.285,1,176,BHATI,0.0
227,28.464103,77.215385,3.565,1,176,BHATI,0.0
228,28.464103,77.230769,4.376,1,177,SAID UL AJAIB,0.0
229,28.464103,77.246154,4.246,1,177,SAID UL AJAIB,1431.1073888816472
230,28.464103,77.261538,3.846,1,176,BHATI,2458.8673522682348
231,28.464103,77.276923,4.01,1,198,PUL PEHLAD,2938.838614555528
232,28.464103,77.292308,3.803,1,199,TEKHAND,3353.894949530852
233,28.464103,77.307692,2.843,1,204,MOLARBAND,2560.1890334167774
234,28.464103,77.323077,2.495,1,204,MOLARBAND,2669.0758914799767
235,28.464103,77.338462,2.982,1,202,MEETHEYPUR,3503.994253263528
236,28.464103,77.353846,4.01,1,202,MEETHEYPUR,4432.875071993452
237,28.464103,77.369231,5.272,1,202,MEETHEYPUR,5734.929660108237
238,28.464103,77.384615,6.636,1,202,MEETHEYPUR,7210.642488892432
239,28.464103,77.4,8.05,1,202,MEETHEYPUR,8647.764309351938
240,28.476923,76.8,16.682,1,133,CHHAWLA,9675.628342400363
241,28.476923,76.815385,15.533,1,133,CHHAWLA,8113.300235641772
242,28.476923,76.830769,14.449,1,133,CHHAWLA,6625.788606716572
243,28.476923,76.846154,13.445,1,133,CHHAWLA,5273.092130241979
244,28.476923,76.861538,12.542,1,133,CHHAWLA,4072.616715980215
245,28.476923,76.876923,11.762,1,133,CHHAWLA,3223.112995403289
246,28.476923,76.892308,11.132,1,133,CHHAWLA,3022.0939220944947
247,28.476923,76.907692,10.677,1,133,CHHAWLA,3482.5240526840207
248,28.476923,76.923077,10.421,1,133,CHHAWLA,3804.786408561959
249,28.476923,76.938462,9.089,1,133,CHHAWLA,3523.997640773779
250,28.476923,76.953846,7.684,1,133,CHHAWLA,3517.481266096887
251,28.476923,76.969231,6.325,1,133,CHHAWLA,3956.3370300069
252,28.476923,76.984615,5.049,1,133,CHHAWLA,4683.2414482696495
253,28.476923,77.0,3.936,1,133,CHHAWLA,4736.139225049713
254,28.476923,77.015385,3.165,1,133,CHHAWLA,4809.009467541707
255,28.476923,77.030769,3.012,1,133,CHHAWLA,5284.651515406938
256,28.476923,77.046154,3.556,1,141,BIJWASAN,4726.469976739832
257,28.476923,77.061538,4.554,1,141,BIJWASAN,4467.1077562792525
258,28.476923,77.076923,5.353,1,175,AYA NAGAR,3833.334752492484
259,28.476923,77.092308,3.852,1,175,AYA NAGAR,2176.6038217580813
260,28.476923,77.107692,2.356,1,175,AYA NAGAR,689.7006850355848
261,28.476923,77.123077,0.885,1,175,AYA NAGAR,0.0
262,28.476923,77.138462,0.733,0,175,AYA NAGAR,0.0
263,28.476923,77.153846,2.194,1,175,AYA NAGAR,0.0
264,28.476923,77.169231,3.631,1,176,BHATI,0.0
265,28.476923,77.184615,2.462,1,176,BHATI,0.0
266,28.476923,77.2,1.861,1,176,BHATI,0.0
267,28.476923,77.215385,2.32,1,177,SAID UL AJAIB,0.0
268,28.476923,77.230769,3.439,1,177,SAID UL AJAIB,0.0
269,28.476923,77.246154,3.021,1,177,SAID UL AJAIB,195.05824646705383
270,28.476923,77.261538,2.429,1,186,SANGAM VIHAR WEST,997.9171952536752
271,28.476923,77.276923,2.681,1,198,PUL PEHLAD,1379.6586360565807
272,28.476923,77.292308,3.606,1,199,TEKHAND,1842.637893123186
273,28.476923,77.307692,4.149,1,204,MOLARBAND,1088.6471463753455
274,28.476923,77.323077,3.919,1,204,MOLARBAND,1217.527126590035
275,28.476923,77.338462,4.246,1,202,MEETHEYPUR,2084.1080059137885
276,28.476923,77.353846,5.021,1,202,MEETHEYPUR,3422.8514220326715
277,28.476923,77.369231,6.077,1,202,MEETHEYPUR,4902.565052991048
278,28.476923,77.384615,7.292,1,201,JAITPUR,6313.079730852593
279,28.476923,77.4,8.598,1,201,JAITPUR,7618.143328794792
280,28.489744,76.8,15.769,1,140,KHERA,9163.103228730908
281,28.489744,76.815385,14.619,1,133,CHHAWLA,7528.844119565959
282,28.489744,76.830769,13.462,1,133,CHHAWLA,5895.670252308318
283,28.489744,76.846154,12.379,1,133,CHHAWLA,4324.244259673882
284,28.489744,76.861538,11.391,1,133,CHHAWLA,2914.7139973139224
285,28.489744,76.876923,10.527,1,133,CHHAWLA,1739.5311109624588
286,28.489744,76.892308,9.817,1,133,CHHAWLA,1398.453869173061
287,28.489744,76.907692,9.299,1,133,CHHAWLA,2201.138180556866
288,28.489744,76.923077,9.004,1,133,CHHAWLA,2187.559479059704
289,28.489744,76.938462,8.955,1,133,CHHAWLA,1934.1179618049584
290,28.489744,76.953846,8.341,1,133,CHHAWLA,1897.5638073170448
291,28.489744,76.969231,7.109,1,133,CHHAWLA,2564.209298607232
292,28.489744,76.984615,6.001,1,133,CHHAWLA,3088.131588691498
293,28.489744,77.0,5.101,1,133,CHHAWLA,3167.77856002246
294,28.489744,77.015385,4.533,1,133,CHHAWLA,3201.0143928053594
295,28.489744,77.030769,4.427,1,141,BIJWASAN,3809.109139156057
296,28.489744,77.046154,4.814,1,141,BIJWASAN,3192.789830903352
297,28.489744,77.061538,5.592,1,141,BIJWASAN,2843.4066813070262
298,28.489744,77.076923,5.615,1,172,KISHANGARH,3000.079590631084
299,28.489744,77.092308,4.209,1,172,KISHANGARH,1982.0482018242
300,28.489744,77.107692,2.903,1,175,AYA NAGAR,1195.178429876803
301,28.489744,77.123077,1.913,1,174,CHHATARPUR,0.0
302,28.489744,77.138462,1.847,1,174,CHHATARPUR,0.0
303,28.489744,77.153846,2.773,1,174,CHHATARPUR,0.0
304,28.489744,77.169231,3.15,1,176,BHATI,0.0
305,28.489744,77.184615,1.673,1,174,CHHATARPUR,0.0
306,28.489744,77.2,0.446,0,173,DEOLI,0.0
307,28.489744,77.215385,1.456,1,173,DEOLI,0.0
308,28.489744,77.230769,2.926,1,178,SANGAM VIHAR,0.0
309,28.489744,77.246154,2.073,1,187,SANGAM VIHAR CENTRAL,0.0
310,28.489744,77.261538,1.033,1,188,SANGAM VIHAR EAST,0.0
311,28.489744,77.276923,1.535,1,198,PUL PEHLAD,392.4478487044416
312,28.489744,77.292308,2.858,1,198,PUL PEHLAD,631.6834475399306
313,28.489744,77.307692,4.301,1,203,BADAR PUR,0.0
314,28.489744,77.323077,5.344,1,202,MEETHEYPUR,0.0
315,28.489744,77.338462,5.588,1,202,MEETHEYPUR,1170.809406177082
316,28.489744,77.353846,6.198,1,202,MEETHEYPUR,2570.0242235795536
317,28.489744,77.369231,7.08,1,201,JAITPUR,3956.704749276504
318,28.489744,77.384615,8.146,1,201,JAITPUR,5278.903878971587
319,28.489744,77.4,8.859,1,201,JAITPUR,6762.698651092015
320,28.502564,76.8,14.752,1,140,KHERA,7870.780588570802
321,28.502564,76.815385,13.702,1,140,KHERA,6876.083937617143
322,28.502564,76.830769,12.559,1,133,CHHAWLA,5557.879304326395
323,28.502564,76.846154,11.391,1,133,CHHAWLA,3850.997670062778
324,28.502564,76.861538,10.31,1,133,CHHAWLA,2153.406190494935
325,28.502564,76.876923,9.346,1,133,CHHAWLA,556.2167517535196
326,28.502564,76.892308,8.539,1,133,CHHAWLA,0.0
327,28.502564,76.907692,7.937,1,133,CHHAWLA,987.4546407437234
328,28.502564,76.923077,7.59,1,133,CHHAWLA,599.1516393333015
329,28.502564,76.938462,7.532,1,133,CHHAWLA,461.66545739851904
330,28.502564,76.953846,7.77,1,133,CHHAWLA,292.34764574405165
331,28.502564,76.969231,8.07,1,133,CHHAWLA,1316.8822923125383
332,28.502564,76.984615,7.114,1,133,CHHAWLA,1553.4145261302194
